number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_class_weight,params_contrast_method,params_feature_selection,params_n_estimators,params_n_jobs,params_number_features,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.03225302973161386,2022-10-19 09:43:27.222540,2022-10-19 09:43:32.468049,0 days 00:00:05.245509,no,0.06779555482085757,balanced_subsample,Helmert,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=ExtraTreesClassifier(ccp_alpha=0.06779555482085757,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120)))])",no,no,Helmert,,FeatureWiz,,no,0.25,0.0316531437511282,0.0,0.01694746819960861,0.25,0.25,0.03225302973161386,0.0,0.0172781352124183,0.25,COMPLETE
1,0.03225302973161386,2022-10-19 09:43:32.624374,2022-10-19 09:43:37.995733,0 days 00:00:05.371359,no,0.05954774279919228,balanced,Polynomial,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=ExtraTreesClassifier(ccp_alpha=0.05954774279919228,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120)))])",no,no,Polynomial,,FeatureWiz,,no,0.25,0.0316531437511282,0.0,0.01694746819960861,0.25,0.25,0.03225302973161386,0.0,0.0172781352124183,0.25,COMPLETE
2,0.03225302973161386,2022-10-19 09:43:38.144886,2022-10-19 09:43:40.494496,0 days 00:00:02.349610,no,0.07102534684712332,balanced_subsample,Helmert,ANOVA,100,2,23.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.07102534684712332,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=23))])",no,no,Helmert,,ANOVA,23.0,no,0.25,0.0316531437511282,0.0,0.01694746819960861,0.25,0.25,0.03225302973161386,0.0,0.0172781352124183,0.25,COMPLETE
3,0.028685135540652208,2022-10-19 09:43:40.645136,2022-10-19 09:43:45.317652,0 days 00:00:04.672516,smoteen,0.0786534614264168,balanced_subsample,Sum,FeatureImportance_ET,100,2,14.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=ExtraTreesClassifier(ccp_alpha=0.0786534614264168,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=14))])",smoteen,no,Sum,,FeatureImportance_ET,14.0,no,0.30941840230939405,0.08531131571501194,0.039281887197122105,0.22613366274705116,0.30941840230939405,0.25,0.028685135540652208,-0.0019338699127085378,0.015494549019396994,0.25,COMPLETE
4,0.26261526031305055,2022-10-19 09:43:45.462602,2022-10-19 09:43:47.872827,0 days 00:00:02.410225,no,0.023982353401981737,balanced_subsample,Sum,ANOVA,100,2,21.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.023982353401981737,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=21))])",no,no,Sum,,ANOVA,21.0,no,0.574652792766057,0.3992280335307257,0.2855730823062019,0.39370224051359176,0.574652792766057,0.3242749122109587,0.26261526031305055,0.11319112583315248,0.27627803921871635,0.3242749122109587,COMPLETE
5,0.16077355929524365,2022-10-19 09:43:48.033207,2022-10-19 09:44:06.243923,0 days 00:00:18.210716,smoteen,0.02106551571630424,balanced_subsample,Backward Difference,Lasso,100,2,25.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=ExtraTreesClassifier(ccp_alpha=0.02106551571630424,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=25))])",smoteen,no,Backward Difference,,Lasso,25.0,no,0.4485569996762531,0.27353221283691614,0.14497828369255747,0.3103074433236392,0.4485569996762531,0.29586908390202965,0.16077355929524365,0.04058178536718822,0.29266620734638,0.29586908390202965,COMPLETE
6,0.039477917465613764,2022-10-19 09:44:06.386408,2022-10-19 09:44:12.416665,0 days 00:00:06.030257,smoteen,0.04738402156342736,balanced,Sum,MutualInformation,100,2,12.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=ExtraTreesClassifier(ccp_alpha=0.04738402156342736,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=12))])",smoteen,no,Sum,,MutualInformation,12.0,no,0.29791728118611244,0.08357395478907337,0.029162603513784968,0.2439036226031173,0.29791728118611244,0.24337137525122024,0.039477917465613764,-0.00259772529015893,0.1755728946976012,0.24337137525122024,COMPLETE
7,0.2393059273010322,2022-10-19 09:44:12.575647,2022-10-19 09:44:20.091186,0 days 00:00:07.515539,smoteen,0.017330667004672673,balanced,Polynomial,FeatureWiz,100,2,,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=ExtraTreesClassifier(ccp_alpha=0.017330667004672673,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120)))])",smoteen,no,Polynomial,,FeatureWiz,,no,0.4910270980593176,0.4840801773373003,0.28754622396102697,0.5405230758551449,0.4910270980593176,0.2547181088363259,0.2393059273010322,0.02073434411445231,0.2556696815143039,0.2547181088363259,COMPLETE
8,0.03093626768406617,2022-10-19 09:44:20.228197,2022-10-19 09:44:25.689799,0 days 00:00:05.461602,smoteen,0.002101327164955569,balanced_subsample,Sum,FeatureImportance_ET,100,2,16.0,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=ExtraTreesClassifier(ccp_alpha=0.002101327164955569,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=16))])",smoteen,no,Sum,,FeatureImportance_ET,16.0,no,0.3301558181502065,0.11880173232169326,0.07234541540331035,0.2156519835957332,0.3301558181502065,0.24691358024691357,0.03093626768406617,-0.006847108854808947,0.10018929169199793,0.24691358024691357,COMPLETE
9,0.17171167212890018,2022-10-19 09:44:25.844330,2022-10-19 09:44:45.509973,0 days 00:00:19.665643,no,0.03817090989782523,balanced_subsample,Sum,BorutaShap,100,2,,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='BorutaShap',
                                             model=ExtraTreesClassifier(ccp_alpha=0.03817090989782523,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120)))])",no,no,Sum,,BorutaShap,,no,0.3116867547078185,0.19433190959413024,0.0969415705943059,0.1837826859275158,0.3116867547078185,0.26458871662360034,0.17171167212890018,0.06137830752360308,0.16506762941919192,0.26458871662360034,COMPLETE
10,0.26980938601120924,2022-10-19 09:44:45.663477,2022-10-19 09:44:48.061262,0 days 00:00:02.397785,no,0.005153596134930036,balanced_subsample,Sum,ANOVA,100,2,17.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.005153596134930036,
                                                                        class_weight='balanced_subsample',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=17))])",no,no,Sum,,ANOVA,17.0,no,0.8919607254626882,0.7516139641021459,0.6606121398303856,0.6742441127288848,0.8919607254626882,0.2998988217495969,0.26980938601120924,0.13522778855383946,0.27644513971660634,0.2998988217495969,COMPLETE
11,0.317474053524841,2022-10-19 09:44:48.218810,2022-10-19 09:44:50.891562,0 days 00:00:02.672752,no,0.019876555227097473,balanced,Sum,ANOVA,100,2,3.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.019876555227097473,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=3))])",no,no,Sum,,ANOVA,3.0,no,0.5220553614573403,0.3826831932030217,0.2536979658027257,0.36466582647934404,0.5220553614573403,0.3807216093553303,0.317474053524841,0.19064941354967532,0.3208931909266748,0.3807216093553303,COMPLETE
12,0.29873883359829195,2022-10-19 09:44:51.084364,2022-10-19 09:44:54.460747,0 days 00:00:03.376383,no,0.002558377212849232,balanced,Sum,MutualInformation,100,2,13.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=ExtraTreesClassifier(ccp_alpha=0.002558377212849232,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=13))])",no,no,Sum,,MutualInformation,13.0,no,0.9735125519343873,0.9140161273768802,0.8803788732220627,0.8671481889147999,0.9735125519343873,0.30497830119923147,0.29873883359829195,0.09424431812320798,0.2996058344835519,0.30497830119923147,COMPLETE
13,0.251582137674258,2022-10-19 09:44:54.628762,2022-10-19 09:44:58.079700,0 days 00:00:03.450938,no,0.009097419486804061,balanced,Sum,MutualInformation,100,2,2.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=ExtraTreesClassifier(ccp_alpha=0.009097419486804061,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=2))])",no,no,Sum,,MutualInformation,2.0,no,0.5492705766590525,0.36585713518331503,0.23827240564323618,0.40789869500469006,0.5492705766590525,0.3327817531305904,0.251582137674258,0.1254368675733336,0.2865829639390087,0.3327817531305904,COMPLETE
14,0.22859158516980416,2022-10-19 09:44:58.241636,2022-10-19 09:45:01.901386,0 days 00:00:03.659750,no,0.033683606452848666,None,Helmert,MutualInformation,100,2,5.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=ExtraTreesClassifier(ccp_alpha=0.033683606452848666,
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=5))])",no,no,Helmert,,MutualInformation,5.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
15,0.23873626312853943,2022-10-19 09:45:02.064810,2022-10-19 09:45:05.047660,0 days 00:00:02.982850,no,0.03728891346436566,balanced,Sum,FeatureImportance_ET,100,2,7.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=ExtraTreesClassifier(ccp_alpha=0.03728891346436566,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=7))])",no,no,Sum,,FeatureImportance_ET,7.0,no,0.35330508417417583,0.2668621524476456,0.14496642383396335,0.26093563377948287,0.35330508417417583,0.27645887166236005,0.23873626312853943,0.10148166529439225,0.2386813096707463,0.27645887166236005,COMPLETE
16,0.23013479006897733,2022-10-19 09:45:05.201066,2022-10-19 09:45:07.539927,0 days 00:00:02.338861,no,0.0011297791148771434,balanced,Polynomial,ANOVA,100,2,1.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.0011297791148771434,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=1))])",no,no,Polynomial,,ANOVA,1.0,no,0.43883224443485197,0.2968932301951354,0.17927884319153253,0.41484638495629733,0.43883224443485197,0.2691987455553347,0.23013479006897733,0.08419851780231385,0.3914732785172224,0.2691987455553347,COMPLETE
17,0.03225302973161386,2022-10-19 09:45:07.687287,2022-10-19 09:45:09.969107,0 days 00:00:02.281820,no,0.0500704587835909,balanced,Backward Difference,ANOVA,100,2,10.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=ExtraTreesClassifier(ccp_alpha=0.0500704587835909,
                                                                        class_weight='balanced',
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=10))])",no,no,Backward Difference,,ANOVA,10.0,no,0.25,0.0316531437511282,0.0,0.01694746819960861,0.25,0.25,0.03225302973161386,0.0,0.0172781352124183,0.25,COMPLETE
18,0.22859158516980416,2022-10-19 09:45:10.110542,2022-10-19 09:45:15.710629,0 days 00:00:05.600087,no,0.038291735325027235,None,Sum,Lasso,100,2,8.0,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Timestamp_day_of_month',
                                       'Timestamp_day_of_year',
                                       'Birth_Date_month', 'Birth_Date_quarter',
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=ExtraTreesClassifier(ccp_alpha=0.038291735325027235,
                                                                        n_jobs=2,
                                                                        random_state=120),
                                             number=8))])",no,no,Sum,,Lasso,8.0,no,0.25,0.22859163282347905,0.0,0.21056069848744294,0.25,0.25,0.22859158516980416,0.0,0.21056091707516342,0.25,COMPLETE
