number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_contrast_method,params_feature_selection,params_learning_rate,params_loss,params_max_features,params_n_estimators,params_number_features,params_subsample,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_contrast_encoding_method,user_attrs_damping,user_attrs_feature_selection,user_attrs_number_features,user_attrs_scaling_indicator,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.038614101835420786,2022-10-19 10:33:52.336733,2022-10-19 10:33:57.305556,0 days 00:00:04.968823,smoteen,0.06779555482085757,Polynomial,ANOVA,0.05724035909349452,log_loss,sqrt,100,29.0,0.7704139393623515,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='ANOVA',
                                             model=GradientBoostingClassifier(ccp_alpha=0.06779555482085757,
                                                                              learning_rate=0.05724035909349452,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7704139393623515),
                                             number=29))])",smoteen,no,Polynomial,,ANOVA,29.0,no,0.26617734750429684,0.06538130350032516,0.008721521325552884,0.10376595387096181,0.26617734750429684,0.2537037037037037,0.038614101835420786,0.00765512505570935,0.10346513103384485,0.2537037037037037,COMPLETE
1,0.029211122633175865,2022-10-19 10:33:57.461836,2022-10-19 10:34:00.199500,0 days 00:00:02.737664,no,0.05954774279919228,Sum,FeatureImportance_ET,0.29444640328878796,log_loss,sqrt,100,30.0,0.7288397478567393,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_week', 'Internet_in_week',
                                  'Tired_in_week', 'Conce...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.05954774279919228,
                                                                              learning_rate=0.29444640328878796,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7288397478567393),
                                             number=30))])",no,no,Sum,,FeatureImportance_ET,30.0,no,0.2828054298642534,0.05341640543689565,0.022069123874347046,0.03317643865513259,0.2828054298642534,0.25,0.029211122633175865,0.004589607196173032,0.015629876011196826,0.25,COMPLETE
2,0.21481261354350487,2022-10-19 10:34:00.354063,2022-10-19 10:34:07.972169,0 days 00:00:07.618106,smoteen,0.07102534684712332,Polynomial,FeatureWiz,0.013255225222300071,log_loss,sqrt,100,,0.7312161762767296,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07102534684712332,
                                                                              learning_rate=0.013255225222300071,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7312161762767296)))])",smoteen,no,Polynomial,,FeatureWiz,,no,0.3874195005975915,0.33548163582243484,0.03133788945001881,0.44209599504270286,0.3874195005975915,0.2398801698475301,0.21481261354350487,-0.024855980490361956,0.2390311226706753,0.2398801698475301,COMPLETE
3,0.044297867948928815,2022-10-19 10:34:08.129553,2022-10-19 10:34:13.831720,0 days 00:00:05.702167,no,0.045674108405232,Polynomial,Lasso,0.12884106898460615,log_loss,sqrt,100,10.0,0.8624630856232463,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.045674108405232,
                                                                              learning_rate=0.12884106898460615,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.8624630856232463),
                                             number=10))])",no,no,Polynomial,,Lasso,10.0,no,0.3088470965309201,0.07584941090212642,0.04786913751434552,0.05240930796994157,0.3088470965309201,0.26413255360623783,0.044297867948928815,0.016557616049594864,0.028438332504549153,0.26413255360623783,COMPLETE
4,0.293993624327048,2022-10-19 10:34:13.986991,2022-10-19 10:34:19.354114,0 days 00:00:05.367123,no,0.014058036554451925,Helmert,FeatureWiz,0.07745501763143287,log_loss,sqrt,100,,0.6814302436172056,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.014058036554451925,
                                                                              learning_rate=0.07745501763143287,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.6814302436172056)))])",no,no,Helmert,,FeatureWiz,,no,0.5665231033336456,0.43393649085618174,0.2776144983075923,0.4071421427823543,0.5665231033336456,0.33511081441263,0.293993624327048,0.10455794557680896,0.3092685852873349,0.33511081441263,COMPLETE
5,0.19346982528482704,2022-10-19 10:34:19.500138,2022-10-19 10:34:27.240345,0 days 00:00:07.740207,smoteen,0.07481257544322646,Sum,FeatureWiz,0.17262202511751337,log_loss,sqrt,100,,0.9760032319422911,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07481257544322646,
                                                                              learning_rate=0.17262202511751337,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.9760032319422911)))])",smoteen,no,Sum,,FeatureWiz,,no,0.3657219272176217,0.29385943924622493,0.0038034222009874358,0.3817047616588088,0.3657219272176217,0.2372569237394819,0.19346982528482704,-0.03646038625359451,0.22443484860791144,0.2372569237394819,COMPLETE
6,0.0564774631950449,2022-10-19 10:34:27.403184,2022-10-19 10:34:32.861736,0 days 00:00:05.458552,smoteen,0.09118920456532524,Backward Difference,FeatureImportance_ET,0.25553717813207716,log_loss,sqrt,100,29.0,0.5694800763103314,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household'...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.09118920456532524,
                                                                              learning_rate=0.25553717813207716,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5694800763103314),
                                             number=29))])",smoteen,no,Backward Difference,,FeatureImportance_ET,29.0,no,0.29782726507418705,0.09408956832311327,0.03231658383607945,0.11838648629571975,0.29782726507418705,0.25379273504273503,0.0564774631950449,0.010764925237272849,0.04312578899801276,0.25379273504273503,COMPLETE
7,0.17935840546304394,2022-10-19 10:34:33.022669,2022-10-19 10:34:36.264998,0 days 00:00:03.242329,no,0.03336563533904877,Helmert,MutualInformation,0.010148580044713744,log_loss,sqrt,100,25.0,0.5489109244008293,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='MutualInformation',
                                             model=GradientBoostingClassifier(ccp_alpha=0.03336563533904877,
                                                                              learning_rate=0.010148580044713744,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5489109244008293),
                                             number=25))])",no,no,Helmert,,MutualInformation,25.0,no,0.39977411120386214,0.2889592629180595,0.11680977756582318,0.29754654352490767,0.39977411120386214,0.2617119328002641,0.17935840546304394,-0.0002609775158707306,0.17954070375734008,0.2617119328002641,COMPLETE
8,0.19103092720909018,2022-10-19 10:34:36.427998,2022-10-19 10:34:54.701202,0 days 00:00:18.273204,smoteen,0.07608631399021916,Sum,Lasso,0.0859466974261573,log_loss,sqrt,100,8.0,0.6436794500808801,"Pipeline(memory='Caching',
         steps=[('smote', SMOTEN(n_jobs=2, random_state=120)),
                ['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 SumEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                  'Sports_in_wee...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.07608631399021916,
                                                                              learning_rate=0.0859466974261573,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.6436794500808801),
                                             number=8))])",smoteen,no,Sum,,Lasso,8.0,no,0.3306548413925378,0.2833549793894062,0.077129204486048,0.3219188445461478,0.3306548413925378,0.2327279492875168,0.19103092720909018,-0.009348720507297367,0.23379024025270542,0.2327279492875168,COMPLETE
9,0.11940571586684935,2022-10-19 10:34:54.872461,2022-10-19 10:34:57.687346,0 days 00:00:02.814885,no,0.03935438316607551,Polynomial,FeatureImportance_ET,0.010871329728381977,log_loss,sqrt,100,26.0,0.7924870258411902,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 PolynomialEncoder(cols=['Fruitveg_ytd',
                                         'Number_people_household',
                                         'Sports_in_week', 'Internet_in_week',
                                         'Tired_in_week'...
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(ccp_alpha=0.03935438316607551,
                                                                              learning_rate=0.010871329728381977,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7924870258411902),
                                             number=26))])",no,no,Polynomial,,FeatureImportance_ET,26.0,no,0.34399799827123423,0.14261284926232268,0.08712825419291705,0.11389046489193126,0.34399799827123423,0.2816106804478898,0.11940571586684935,0.02873583501858042,0.11549535568091145,0.2816106804478898,COMPLETE
10,0.28159643993279354,2022-10-19 10:34:57.842005,2022-10-19 10:35:03.300744,0 days 00:00:05.458739,no,0.0048482388150883245,Helmert,FeatureWiz,0.1483473934676008,log_loss,sqrt,100,,0.8347505373005913,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.0048482388150883245,
                                                                              learning_rate=0.1483473934676008,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.8347505373005913)))])",no,no,Helmert,,FeatureWiz,,no,0.6674230998361544,0.5228198264696268,0.4093519121761083,0.475537079971021,0.6674230998361544,0.30665425531296603,0.28159643993279354,0.10827964208147796,0.32108226718634414,0.30665425531296603,COMPLETE
11,0.19624463490568914,2022-10-19 10:35:03.454450,2022-10-19 10:35:08.884116,0 days 00:00:05.429666,no,0.01658404772486475,Helmert,FeatureWiz,0.14437716553870691,log_loss,sqrt,100,,0.7410640849115061,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 HelmertEncoder(cols=['Fruitveg_ytd', 'Number_people_household',
                                      'Sports_in_week', 'Internet_in_week',
                                      'Tired_in_week', 'C...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.01658404772486475,
                                                                              learning_rate=0.14437716553870691,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7410640849115061)))])",no,no,Helmert,,FeatureWiz,,no,0.54047428171351,0.3165950359189925,0.17907316889248734,0.34956671583806354,0.54047428171351,0.2995926207804013,0.19624463490568914,0.03948812480938486,0.2776105437892577,0.2995926207804013,COMPLETE
12,0.2917867601527096,2022-10-19 10:35:09.032691,2022-10-19 10:35:14.650551,0 days 00:00:05.617860,no,0.01692600372521066,Backward Difference,Lasso,0.050965033505296485,log_loss,sqrt,100,26.0,0.644610661734402,"Pipeline(memory='Caching',
         steps=[['feature_engine', FeatureEngineTransformer()],
                ['interval_encoding', IntervalDataTransformer()],
                ['binary_encoding', BinaryDataTransformer()],
                ['ordinal_encoding', OrdinalDataTransformer()],
                ['contrast_data',
                 BackwardDifferenceEncoder(cols=['Fruitveg_ytd',
                                                 'Number_people_household',
                                                 'Sports_in_week',
                                                 'Internet_in_week',
                                                 'Tired_...
                                       'Birth_Date_week',
                                       'Birth_Date_day_of_week',
                                       'Birth_Date_day_of_month',
                                       'Birth_Date_day_of_year'],
                                 drop_invariant=True)],
                ('featureselection',
                 FeatureSelectionTransformer(method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.01692600372521066,
                                                                              learning_rate=0.050965033505296485,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.644610661734402),
                                             number=26))])",no,no,Backward Difference,,Lasso,26.0,no,0.6662496838727772,0.45788260744044673,0.32898083748594814,0.4184721203436892,0.6662496838727772,0.3417234927077848,0.2917867601527096,0.13344866665351188,0.3046085647720386,0.3417234927077848,COMPLETE
